site,product_url,status,category,breadcrumb
xlmoto,https://www.xlmoto.co.uk/product/michelin-ultra-heavy-duty-4-mm-inner-tube_pid-PM-0001097,pending,tires,Motorcycle Parts > Motorcycle Tyres > Tyres Parts & Accessories > Michelin Ultra Heavy Duty 4 mm Inner Tube
xlmoto,https://www.xlmoto.co.uk/product/proworks-wheel-balancer_pid-PM-4948808,pending,tires,Accessories > Tools > Tyre & Rim Tools > Proworks Wheel Balancer
xlmoto,https://www.xlmoto.co.uk/product/proworks-tyre-irons-3-pack-240-mm_pid-PP-4914283,pending,tires,Accessories > Tools > Tyre & Rim Tools > Proworks Tyre Irons 3-pack 240 mm
xlmoto,https://www.xlmoto.co.uk/product/proworks240-mm-tyre-iron_pid-PM-0000420,pending,tires,Accessories > Tools > Tyre & Rim Tools > Proworks240 mm Tyre Iron
xlmoto,https://www.xlmoto.co.uk/product/proworks-tyre-pressure-gauge-with-light_pid-PM-0050059,pending,tires,Accessories > Tools > Other Tools > Proworks Tyre Pressure Gauge with Light
xlmoto,https://www.xlmoto.co.uk/product/beta-tools-valve-screwdriver_pid-PM-0067820,pending,tires,Accessories > Tools > Tyre & Rim Tools > Beta Tools Valve Screwdriver
xlmoto,https://www.xlmoto.co.uk/product/twenty-rim-band_pid-PM-0003025,pending,tires,Motorcycle Parts > Motorcycle Tyres > Tyres Parts & Accessories > Twenty Rim Band
xlmoto,https://www.xlmoto.co.uk/product/proworks-road-tyre-machine_pid-PM-0080979,pending,tires,Accessories > Tools > Tyre & Rim Tools > Proworks Road Tyre Machine
xlmoto,https://www.xlmoto.co.uk/product/michelin-inner-tube_pid-PM-0028611,pending,tires,Motorcycle Parts > Motorcycle Tyres > Tyres Parts & Accessories > Michelin Inner Tube
xlmoto,https://www.xlmoto.co.uk/product/maxxis-touring-m6011-rear-mc-tyre-16_pid-PM-4083594,pending,tires,"Motorcycle Parts > Motorcycle Tyres > Touring Motorcycle Tyres > Maxxis Touring M6011 Rear MC Tyre 16"""
xlmoto,https://www.xlmoto.co.uk/product/moto-master-roadpro-ceramic-front-brake-pads_pid-PM-4902060,pending,brake_pads,Motorcycle Parts > Motorcycle Brakes > Brake Pads > Moto-Master RoadPro Ceramic Front Brake Pads
xlmoto,https://www.xlmoto.co.uk/product/moto-master-roadpro-sinter-front-brake-pads_pid-PM-4902057,pending,brake_pads,Motorcycle Parts > Motorcycle Brakes > Brake Pads > Moto-Master RoadPro Sinter Front Brake Pads
xlmoto,https://www.xlmoto.co.uk/product/brembo-sintered-road-rear-brake-pads_pid-PM-0083619,pending,brake_pads,Motorcycle Parts > Motorcycle Brakes > Brake Pads > Brembo Sintered Road Rear Brake Pads
xlmoto,https://www.xlmoto.co.uk/product/brembo-sintered-road-front-brake-pads_pid-PM-0083618,pending,brake_pads,Motorcycle Parts > Motorcycle Brakes > Brake Pads > Brembo Sintered Road Front Brake Pads
xlmoto,https://www.xlmoto.co.uk/product/proworks-sinter-street-front-brake-pads_pid-PM-4976287,pending,brake_pads,Motorcycle Parts > Motorcycle Brakes > Brake Pads > Proworks Sinter Street Front Brake Pads
xlmoto,https://www.xlmoto.co.uk/product/moto-master-roadpro-sinter-rear-brake-pads_pid-PM-4902058,pending,brake_pads,Motorcycle Parts > Motorcycle Brakes > Brake Pads > Moto-Master RoadPro Sinter Rear Brake Pads
xlmoto,https://www.xlmoto.co.uk/product/trw-sh-rear-brake-linings_pid-PM-0111534,pending,brake_pads,Motorcycle Parts > Motorcycle Brakes > Brake Pads > TRW SH Rear Brake Linings
